National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1971,3470,3460,10,0,10,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1972,3672,3659,13,0,13,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1973,3983,3968,15,0,15,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1974,4491,4470,21,0,21,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1975,4949,4921,28,0,28,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1976,5433,5399,34,0,34,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1977,6083,6039,44,0,44,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1978,7137,7078,59,0,59,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1979,8450,8376,74,0,74,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1980,9801,9703,98,0,98,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1981,11296,11166,130,0,130,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1982,12581,12413,168,0,168,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1983,13755,13536,219,0,219,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1984,14976,14722,254,0,254,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1985,15955,15668,287,0,287,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1986,17063,16734,329,0,329,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1987,18265,17885,380,0,380,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1988,19376,18958,418,0,418,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1989,20819,20343,476,0,476,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1990,22446,21889,557,0,557,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1991,23247,22505,742,0,742,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1992,23213,22348,865,0,865,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1993,23742,22783,959,0,959,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1994,24310,23290,1020,0,1020,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1995,25100,23893,1207,0,1207,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1996,26004,24777,1227,0,1227,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1997,27581,26248,1333,0,1333,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1998,28574,27224,1350,0,1350,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1999,30624,29296,1327,0,1327,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2000,31568,30134,1434,0,1434,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2001,32250,30669,1581,0,1581,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2002,33292,31614,1678,0,1678,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2003,36199,34338,1861,0,1861,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2004,38088,36063,2025,0,2025,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2005,40805,38663,2142,0,2142,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2006,43733,41436,2297,0,2297,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2007,47752,45212,2540,0,2540,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2008,49472,46754,2718,0,2718,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2009,50328,47532,2796,0,2796,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2010,51246,48232,3013,0,3013,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2011,52825,49689,3135,0,3135,0,0,1
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2012,53733,50450,3281,0,3281,0,0,2
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2013,55672,52946,2724,0,2724,0,0,2
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2014,56912,54620,2292,0,2292,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y2015,59030,56778,2253,0,2253,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2016,60908,58731,2176,0,2176,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2017,63698,61516,2181,0,2181,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2018,66909,64544,2364,0,2364,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2019,70329,67797,2532,0,2532,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2020,74381,71634,2747,0,2747,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2021,78529,75569,2960,0,2960,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2022,82846,79667,3178,0,3178,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2023,87304,83893,3411,0,3411,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2024,91929,88272,3656,0,3656,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Projected,Y2025,96676,92773,3903,0,3903,0,0,0
Prescription Drug Expenditures,02/15/2017,Historical,Y1960,2676,2570,39,35,0,0,4,67
Prescription Drug Expenditures,02/15/2017,Historical,Y1961,2718,2595,42,38,0,0,4,81
Prescription Drug Expenditures,02/15/2017,Historical,Y1962,3029,2889,46,42,0,0,4,94
Prescription Drug Expenditures,02/15/2017,Historical,Y1963,3159,3005,47,43,0,0,4,107
Prescription Drug Expenditures,02/15/2017,Historical,Y1964,3347,3138,85,82,0,0,4,124
Prescription Drug Expenditures,02/15/2017,Historical,Y1965,3715,3441,133,130,0,0,3,140
Prescription Drug Expenditures,02/15/2017,Historical,Y1966,3985,3594,288,182,0,103,3,104
Prescription Drug Expenditures,02/15/2017,Historical,Y1967,4227,3712,445,238,0,205,3,69
Prescription Drug Expenditures,02/15/2017,Historical,Y1968,4742,4120,540,317,0,219,4,82
Prescription Drug Expenditures,02/15/2017,Historical,Y1969,5149,4362,703,399,0,300,5,83
Prescription Drug Expenditures,02/15/2017,Historical,Y1970,5497,4531,907,484,0,417,6,59
Prescription Drug Expenditures,02/15/2017,Historical,Y1971,5877,4752,1061,558,0,495,8,65
Prescription Drug Expenditures,02/15/2017,Historical,Y1972,6324,5035,1217,643,0,563,10,73
Prescription Drug Expenditures,02/15/2017,Historical,Y1973,6817,5341,1396,742,0,644,11,80
Prescription Drug Expenditures,02/15/2017,Historical,Y1974,7422,5724,1608,855,0,739,13,90
Prescription Drug Expenditures,02/15/2017,Historical,Y1975,8052,6093,1856,967,0,871,18,104
Prescription Drug Expenditures,02/15/2017,Historical,Y1976,8722,6519,2087,1097,0,969,21,115
Prescription Drug Expenditures,02/15/2017,Historical,Y1977,9196,6813,2261,1202,0,1036,22,122
Prescription Drug Expenditures,02/15/2017,Historical,Y1978,9891,7200,2563,1433,0,1107,23,128
Prescription Drug Expenditures,02/15/2017,Historical,Y1979,10744,7575,2991,1731,0,1236,24,179
Prescription Drug Expenditures,02/15/2017,Historical,Y1980,12049,8592,3242,1810,0,1408,24,215
Prescription Drug Expenditures,02/15/2017,Historical,Y1981,13398,8983,4170,2534,0,1611,26,245
Prescription Drug Expenditures,02/15/2017,Historical,Y1982,15029,10440,4312,2610,0,1669,32,277
Prescription Drug Expenditures,02/15/2017,Historical,Y1983,17323,11446,5556,3614,0,1907,34,321
Prescription Drug Expenditures,02/15/2017,Historical,Y1984,19617,12731,6504,4244,2,2219,39,382
Prescription Drug Expenditures,02/15/2017,Historical,Y1985,21795,13855,7443,5047,21,2332,44,497
Prescription Drug Expenditures,02/15/2017,Historical,Y1986,24290,15744,7914,4836,44,2986,48,633
Prescription Drug Expenditures,02/15/2017,Historical,Y1987,26888,16692,9482,5957,75,3396,54,715
Prescription Drug Expenditures,02/15/2017,Historical,Y1988,30646,18694,11110,7126,102,3814,67,842
Prescription Drug Expenditures,02/15/2017,Historical,Y1989,34757,20581,13159,8862,139,4083,75,1017
Prescription Drug Expenditures,02/15/2017,Historical,Y1990,40290,22867,16217,10860,185,5077,94,1206
Prescription Drug Expenditures,02/15/2017,Historical,Y1991,44381,23553,19595,13212,231,6043,108,1233
Prescription Drug Expenditures,02/15/2017,Historical,Y1992,46972,23661,22056,14755,293,6883,125,1256
Prescription Drug Expenditures,02/15/2017,Historical,Y1993,49551,23835,24481,16230,372,7721,158,1235
Prescription Drug Expenditures,02/15/2017,Historical,Y1994,53019,23176,28539,19209,496,8627,206,1304
Prescription Drug Expenditures,02/15/2017,Historical,Y1995,59766,23201,35202,24481,722,9700,299,1364
Prescription Drug Expenditures,02/15/2017,Historical,Y1996,68084,24241,42431,30114,1011,10824,482,1412
Prescription Drug Expenditures,02/15/2017,Historical,Y1997,77636,25709,50408,36210,1259,12222,717,1519
Prescription Drug Expenditures,02/15/2017,Historical,Y1998,88496,27519,59252,42647,1561,14031,1013,1725
Prescription Drug Expenditures,02/15/2017,Historical,Y1999,104564,30481,72150,52074,1919,16647,1510,1933
Prescription Drug Expenditures,02/15/2017,Historical,Y2000,121028,33648,85091,61108,2096,19771,2117,2288
Prescription Drug Expenditures,02/15/2017,Historical,Y2001,139000,36350,99920,71157,2448,23375,2940,2729
Prescription Drug Expenditures,02/15/2017,Historical,Y2002,157915,40807,113998,79754,2473,27520,4251,3111
Prescription Drug Expenditures,02/15/2017,Historical,Y2003,176659,45466,127614,87009,2470,32233,5901,3579
Prescription Drug Expenditures,02/15/2017,Historical,Y2004,192827,48144,141006,95104,3372,35844,6686,3678
Prescription Drug Expenditures,02/15/2017,Historical,Y2005,205143,51323,149956,102109,3931,36530,7386,3863
Prescription Drug Expenditures,02/15/2017,Historical,Y2006,224078,51213,168863,101960,39638,19109,8156,4002
Prescription Drug Expenditures,02/15/2017,Historical,Y2007,235630,52158,179747,106859,45954,18334,8599,3724
Prescription Drug Expenditures,02/15/2017,Historical,Y2008,241424,49615,188210,109684,50644,19226,8657,3599
Prescription Drug Expenditures,02/15/2017,Historical,Y2009,252665,49068,200118,116095,54543,20340,9140,3478
Prescription Drug Expenditures,02/15/2017,Historical,Y2010,252982,45216,204402,115955,58946,20412,9090,3363
Prescription Drug Expenditures,02/15/2017,Historical,Y2011,258676,45246,210601,116948,63291,20953,9408,2829
Prescription Drug Expenditures,02/15/2017,Historical,Y2012,259089,45071,211449,112839,67529,21591,9490,2569
Prescription Drug Expenditures,02/15/2017,Historical,Y2013,265089,43602,219090,113523,74057,22434,9075,2398
Prescription Drug Expenditures,02/15/2017,Historical,Y2014,297872,44823,251028,128198,84769,27955,10106,2021
Prescription Drug Expenditures,02/15/2017,Historical,Y2015,324551,45540,277020,139765,94122,31764,11370,1992
Prescription Drug Expenditures,02/15/2017,Projected,Y2016,340686,45548,293129,146193,101038,34207,11691,2009
Prescription Drug Expenditures,02/15/2017,Projected,Y2017,360140,46503,311584,153444,109293,36386,12460,2052
Prescription Drug Expenditures,02/15/2017,Projected,Y2018,387379,48177,337078,164761,120601,38608,13108,2124
Prescription Drug Expenditures,02/15/2017,Projected,Y2019,412329,50256,359875,175417,129413,41253,13791,2198
Prescription Drug Expenditures,02/15/2017,Projected,Y2020,438171,53166,382718,183852,140323,44026,14518,2287
Prescription Drug Expenditures,02/15/2017,Projected,Y2021,465797,55645,407767,194116,151472,46909,15271,2384
Prescription Drug Expenditures,02/15/2017,Projected,Y2022,495745,58137,435121,205316,163787,49957,16062,2488
Prescription Drug Expenditures,02/15/2017,Projected,Y2023,527456,60767,464097,216972,177111,53191,16822,2592
Prescription Drug Expenditures,02/15/2017,Projected,Y2024,561178,63645,494837,229295,191300,56625,17617,2697
Prescription Drug Expenditures,02/15/2017,Projected,Y2025,597086,66751,527533,241919,206883,60285,18445,2802
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1960,740,686,40,40,0,0,0,15
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1961,765,707,40,40,0,0,0,17
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1962,910,843,49,49,0,0,0,18
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1963,901,833,50,50,0,0,0,19
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1964,1004,928,55,55,0,0,0,20
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1965,1105,1021,62,62,0,0,0,22
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1966,1242,1130,85,75,6,5,0,27
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1967,1128,990,108,82,16,9,0,31
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1968,1317,1149,130,91,21,18,0,37
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1969,1512,1299,169,113,25,32,0,44
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1970,1747,1503,197,133,28,35,0,48
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1971,1799,1532,213,151,35,27,0,54
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1972,2032,1721,254,186,42,26,0,57
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1973,2247,1889,297,210,51,36,0,61
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1974,2506,2062,374,252,71,51,0,71
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1975,2801,2259,464,306,94,65,0,77
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1976,2987,2390,516,334,115,68,0,80
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1977,3205,2507,612,397,148,66,0,86
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1978,3447,2629,724,459,198,67,0,93
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1979,3781,2794,885,553,247,86,0,102
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1980,4054,2964,984,568,326,90,0,105
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1981,4330,3087,1137,572,447,118,0,106
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1982,4570,3159,1300,566,573,160,0,111
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1983,5250,3576,1547,619,748,181,0,127
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1984,6142,4236,1758,708,865,185,0,148
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1985,7056,4901,1980,790,973,217,0,175
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1986,8067,5626,2236,873,1106,256,0,205
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1987,9466,6654,2573,1002,1268,303,0,239
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1988,11078,7834,2966,1226,1380,360,0,279
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1989,11887,8184,3383,1343,1556,484,0,320
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1990,13767,9494,3906,1523,1801,583,0,367
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1991,13081,8579,4143,1391,2031,721,0,360
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1992,13498,8543,4590,1357,2344,889,0,365
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1993,14140,8669,5108,1449,2597,1062,0,363
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1994,15318,9266,5688,1644,2769,1276,0,364
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1995,15860,9081,6426,1731,3169,1526,0,354
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1996,17432,10029,7036,1970,3411,1655,0,368
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1997,19218,11110,7712,2261,3836,1615,0,396
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1998,21358,12948,7975,2766,3644,1560,4,435
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y1999,23022,13980,8565,3168,3750,1616,30,476
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2000,25165,15094,9562,3620,4065,1835,43,509
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2001,25135,14066,10554,3564,4479,2467,44,515
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2002,27131,14638,11966,3911,5273,2709,73,527
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2003,28512,14934,13053,4201,6021,2767,64,526
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2004,30370,15935,13897,4713,6231,2896,58,538
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2005,32364,16815,15017,5221,6435,3295,65,532
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2006,34409,17487,16403,5694,6886,3761,62,519
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2007,37073,18938,17579,6460,7017,4015,86,557
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2008,37678,18195,18673,6494,7892,4202,85,810
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2009,37813,18050,18955,6812,7488,4579,76,808
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2010,39925,19524,19575,7071,7501,4916,88,826
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2011,42259,21288,20114,7392,7521,5097,104,858
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2012,43679,21978,20840,7312,8063,5345,119,861
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2013,45062,23013,21165,7542,7773,5717,133,884
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2014,46622,23084,22681,8257,7756,6545,124,857
Durable Medical Equipment Expenditures,02/15/2017,Historical,Y2015,48458,23322,24287,8987,7852,7314,134,849
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2016,50498,24288,25328,9608,7951,7638,131,882
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2017,53003,25295,26772,10282,8253,8080,157,936
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2018,55656,25992,28671,10906,8931,8667,167,992
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2019,58682,26831,30797,11614,9653,9351,179,1054
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2020,62401,28080,33201,12485,10440,10083,193,1120
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2021,66560,29527,35841,13509,11279,10849,204,1192
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2022,70939,30968,38705,14631,12198,11661,215,1265
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2023,75335,32294,41701,15756,13190,12530,226,1340
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2024,79805,33574,44817,16912,14206,13462,237,1415
Durable Medical Equipment Expenditures,02/15/2017,Projected,Y2025,84355,34837,48026,18116,15196,14465,249,1492
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1960,811,603,0,0,0,0,0,207
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1961,841,576,0,0,0,0,0,264
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1962,876,524,0,0,0,0,0,351
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1963,1009,589,0,0,0,0,0,420
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1964,1168,662,0,0,0,0,0,506
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1965,1408,787,9,1,0,0,7,613
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1966,1732,1041,225,2,0,204,19,467
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1967,2234,1048,852,3,190,628,31,334
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1968,2851,1467,990,5,244,706,36,394
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1969,3411,1778,1038,7,216,771,44,595
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1970,4034,1984,1151,9,143,940,59,898
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1971,4551,2121,1583,12,121,1367,84,847
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1972,5227,2476,2336,17,120,2099,100,416
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1973,5974,2846,2648,23,165,2338,122,481
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1974,6928,2866,3520,28,200,3149,142,542
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1975,8022,3171,4244,38,220,3810,176,607
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1976,9057,3708,4669,54,260,4129,227,680
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1977,10259,4307,5216,74,267,4646,228,737
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1978,11845,4902,6079,103,268,5421,287,864
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1979,13344,5315,7056,136,283,6327,310,973
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1980,15270,6191,7918,192,307,7055,364,1161
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1981,17336,6861,9147,260,337,8138,412,1328
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1982,19478,8094,9791,374,367,8567,483,1593
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1983,21676,9154,10668,517,392,9204,554,1854
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1984,23713,9831,11814,682,423,10053,656,2068
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1985,26199,10998,12811,938,454,10695,724,2390
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1986,28642,11914,14053,1246,458,11538,811,2675
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1987,30646,12169,15599,1570,499,12656,874,2879
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1988,34225,13976,16802,1929,732,13223,918,3446
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1989,38553,14848,19834,2176,2503,14229,926,3872
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1990,44745,18010,21913,2783,1700,16433,997,4823
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1991,49212,18347,25608,2970,1962,19563,1114,5257
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1992,52848,18477,28686,3114,2888,21480,1204,5685
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1993,55797,18376,31360,3213,3963,22838,1346,6062
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1994,58385,17653,35206,4085,5603,24038,1481,5526
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1995,64185,19576,38218,5482,6690,24516,1531,6392
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1996,69235,19320,43449,6383,9475,25978,1613,6467
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1997,74088,20642,46359,6705,11234,26803,1616,7088
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1998,79106,24923,47789,7367,11401,27334,1688,6393
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y1999,80605,25967,48089,7720,9460,29129,1780,6549
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2000,85045,27127,52044,7454,10822,31882,1886,5874
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2001,90778,27583,57690,7727,13338,34571,2054,5505
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2002,94500,27900,60949,8168,15026,35561,2194,5652
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2003,100105,30268,63631,7447,15773,37872,2539,6206
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2004,105086,31180,67430,6745,18260,39760,2665,6476
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2005,111436,32507,71796,7139,20537,41341,2779,7133
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2006,115929,33580,74727,7989,22358,41563,2817,7622
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2007,124936,36457,79189,8719,24839,42341,3290,9290
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2008,130303,37341,84576,9282,27606,44039,3650,8387
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2009,134885,36771,89347,9815,30141,45483,3907,8767
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2010,139980,37152,93275,10626,32291,46307,4052,9553
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2011,145046,36806,98774,10911,35866,47683,4314,9466
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2012,147370,39093,97691,11526,33998,47764,4402,10586
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2013,149218,39411,99024,11653,34741,48129,4501,10782
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2014,152635,39672,101760,12258,35624,49138,4740,11203
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Historical,Y2015,156798,40076,105723,13416,37629,49686,4993,10998
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2016,162355,41791,109044,14612,40118,48892,5422,11520
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2017,169530,43914,113466,15635,42918,49107,5806,12150
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2018,177486,46323,118336,16501,45558,50195,6082,12827
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2019,186966,48876,124562,17381,48880,51896,6406,13528
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2020,197622,51495,131929,18311,52913,53934,6771,14198
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2021,208828,54185,139752,19236,57212,56162,7141,14891
Nursing Care Facilities and Continuing Care Retirement Communities,02/15/2017,Projected,Y2022,220690,56986,148096,20175,61994,58457,7470,15609
